w_bin,q2_bin,w,q2,xs_bosted,xs_keppel
77,1,2.56525e+00,1.82500e+00,8.51171e-03,6.44410e-03
78,1,2.58375e+00,1.82500e+00,8.08694e-03,6.17879e-03
79,1,2.60225e+00,1.82500e+00,7.66975e-03,5.90749e-03
80,1,2.62075e+00,1.82500e+00,7.26032e-03,5.63040e-03
81,1,2.63925e+00,1.82500e+00,6.85885e-03,5.34769e-03
82,1,2.65775e+00,1.82500e+00,6.46548e-03,5.05955e-03
83,1,2.67625e+00,1.82500e+00,6.08036e-03,4.76614e-03
84,1,2.69475e+00,1.82500e+00,5.70361e-03,4.46764e-03
85,1,2.71325e+00,1.82500e+00,5.33534e-03,4.16419e-03
86,1,2.73175e+00,1.82500e+00,4.97561e-03,3.85593e-03
87,1,2.75025e+00,1.82500e+00,4.62450e-03,3.54298e-03
88,1,2.76875e+00,1.82500e+00,4.28206e-03,3.22549e-03
89,1,2.78725e+00,1.82500e+00,3.94830e-03,2.90355e-03
90,1,2.80575e+00,1.82500e+00,3.62326e-03,2.57726e-03
91,1,2.82425e+00,1.82500e+00,3.30692e-03,2.24671e-03
92,1,2.84275e+00,1.82500e+00,2.99927e-03,1.91197e-03
93,1,2.86125e+00,1.82500e+00,2.70028e-03,1.57310e-03
94,1,2.87975e+00,1.82500e+00,2.40991e-03,1.23015e-03
95,1,2.89825e+00,1.82500e+00,2.12811e-03,8.83162e-04
96,1,2.91675e+00,1.82500e+00,1.85482e-03,5.32137e-04
97,1,2.93525e+00,1.82500e+00,1.58995e-03,1.77085e-04
98,1,2.95375e+00,1.82500e+00,1.33343e-03,-1.81990e-04
99,1,2.97225e+00,1.82500e+00,1.08517e-03,-5.45137e-04
100,1,2.99075e+00,1.82500e+00,8.45060e-04,-9.12397e-04
1,2,1.15925e+00,2.07500e+00,8.88447e-03,1.37822e-03
2,2,1.17775e+00,2.07500e+00,1.36800e-02,2.14314e-03
3,2,1.19625e+00,2.07500e+00,1.82888e-02,3.12341e-03
4,2,1.21475e+00,2.07500e+00,2.02868e-02,3.88904e-03
5,2,1.23325e+00,2.07500e+00,1.91805e-02,3.97174e-03
6,2,1.25175e+00,2.07500e+00,1.69174e-02,3.60744e-03
7,2,1.27025e+00,2.07500e+00,1.50437e-02,3.22187e-03
8,2,1.28875e+00,2.07500e+00,1.39553e-02,2.96479e-03
9,2,1.30725e+00,2.07500e+00,1.35216e-02,2.83427e-03
10,2,1.32575e+00,2.07500e+00,1.35004e-02,2.79898e-03
11,2,1.34425e+00,2.07500e+00,1.36854e-02,2.83290e-03
12,2,1.36275e+00,2.07500e+00,1.39560e-02,2.91965e-03
13,2,1.38125e+00,2.07500e+00,1.42890e-02,3.05137e-03
14,2,1.39975e+00,2.07500e+00,1.47487e-02,3.22826e-03
15,2,1.41825e+00,2.07500e+00,1.54809e-02,3.46081e-03
16,2,1.43675e+00,2.07500e+00,1.67365e-02,3.77633e-03
17,2,1.45525e+00,2.07500e+00,1.89239e-02,4.23147e-03
18,2,1.47375e+00,2.07500e+00,2.24406e-02,4.90927e-03
19,2,1.49225e+00,2.07500e+00,2.61200e-02,5.74532e-03
20,2,1.51075e+00,2.07500e+00,2.61001e-02,6.12027e-03
21,2,1.52925e+00,2.07500e+00,2.28565e-02,5.77232e-03
22,2,1.54775e+00,2.07500e+00,2.00741e-02,5.37506e-03
23,2,1.56625e+00,2.07500e+00,1.85742e-02,5.19258e-03
24,2,1.58475e+00,2.07500e+00,1.80087e-02,5.17838e-03
25,2,1.60325e+00,2.07500e+00,1.80965e-02,5.27619e-03
26,2,1.62175e+00,2.07500e+00,1.87448e-02,5.46505e-03
27,2,1.64025e+00,2.07500e+00,1.99851e-02,5.75524e-03
28,2,1.65875e+00,2.07500e+00,2.18356e-02,6.17816e-03
29,2,1.67725e+00,2.07500e+00,2.38798e-02,6.71901e-03
30,2,1.69575e+00,2.07500e+00,2.46571e-02,7.12002e-03
31,2,1.71425e+00,2.07500e+00,2.33167e-02,7.05941e-03
32,2,1.73275e+00,2.07500e+00,2.13585e-02,6.77338e-03
33,2,1.75125e+00,2.07500e+00,1.99242e-02,6.56175e-03
34,2,1.76975e+00,2.07500e+00,1.90711e-02,6.46378e-03
35,2,1.78825e+00,2.07500e+00,1.85940e-02,6.44126e-03
36,2,1.80675e+00,2.07500e+00,1.83270e-02,6.46153e-03
37,2,1.82525e+00,2.07500e+00,1.81642e-02,6.50490e-03
38,2,1.84375e+00,2.07500e+00,1.80385e-02,6.56004e-03
39,2,1.86225e+00,2.07500e+00,1.79064e-02,6.62028e-03
40,2,1.88075e+00,2.07500e+00,1.77398e-02,6.68161e-03
41,2,1.89925e+00,2.07500e+00,1.75237e-02,6.74143e-03
42,2,1.91775e+00,2.07500e+00,1.72539e-02,6.79805e-03
43,2,1.93625e+00,2.07500e+00,1.69351e-02,6.85031e-03
44,2,1.95475e+00,2.07500e+00,1.65781e-02,6.89741e-03
45,2,1.97325e+00,2.07500e+00,1.61959e-02,6.93876e-03
46,2,1.99175e+00,2.07500e+00,1.58008e-02,6.97393e-03
47,2,2.01025e+00,2.07500e+00,1.54027e-02,7.00262e-03
48,2,2.02875e+00,2.07500e+00,1.50085e-02,7.02459e-03
49,2,2.04725e+00,2.07500e+00,1.46223e-02,7.03969e-03
50,2,2.06575e+00,2.07500e+00,1.42456e-02,7.04778e-03
51,2,2.08425e+00,2.07500e+00,1.38789e-02,7.04880e-03
52,2,2.10275e+00,2.07500e+00,1.35213e-02,7.04269e-03
53,2,2.12125e+00,2.07500e+00,1.31716e-02,7.02944e-03
54,2,2.13975e+00,2.07500e+00,1.28285e-02,7.00905e-03
55,2,2.15825e+00,2.07500e+00,1.24907e-02,6.98155e-03
56,2,2.17675e+00,2.07500e+00,1.21570e-02,6.94698e-03
57,2,2.19525e+00,2.07500e+00,1.18266e-02,6.90538e-03
58,2,2.21375e+00,2.07500e+00,1.14985e-02,6.85683e-03
59,2,2.23225e+00,2.07500e+00,1.11723e-02,6.80140e-03
60,2,2.25075e+00,2.07500e+00,1.08474e-02,6.73919e-03
61,2,2.26925e+00,2.07500e+00,1.05237e-02,6.67028e-03
